"to_date","count_new_cases"
2019-03-18,19008
2019-03-19,25519
2019-03-20,10639
2019-03-21,53458
2019-03-22,20893
2019-03-23,80995
2019-03-24,25486
2019-03-25,20281
2019-03-27,10
2019-03-28,220
2019-03-29,6230
2019-03-30,22
2019-03-31,23706
2019-04-01,15347
2019-04-02,13590
2019-04-03,313
2019-04-04,33
2019-04-05,33
2019-04-06,38
2019-04-08,30955
2019-04-09,21134
2019-04-10,17228
2019-04-11,9115
2019-04-12,11323
2019-04-13,9198
2019-04-16,49771
2019-04-17,23892
2019-04-18,31500
2019-04-19,6003
2019-04-24,13881
2019-04-25,36262
2019-04-26,37191
2019-04-27,57261
2019-04-28,435
2019-04-30,272
2019-05-01,389
2019-05-04,1
2019-05-06,481
2019-05-08,219
2019-05-09,1
2019-05-10,3736
2019-05-11,3197
2019-05-12,6794
2019-05-13,224
2019-05-14,6930
2019-05-15,7672
2019-05-16,9639
2019-05-17,9903
2019-05-18,233
2019-05-22,125
2019-05-23,559
2019-05-24,25157
2019-05-25,14048
2019-05-26,1002
2019-05-29,394
2019-05-30,8654
2019-05-31,45114
2019-06-01,20319
2019-06-02,36439
2019-06-05,8466
2019-06-06,24106
2019-06-07,24329
2019-06-08,1944
2019-06-09,6327
2019-06-12,22
2019-06-13,3689
2019-06-14,8376
2019-06-15,5071
2019-06-16,2016
2019-06-17,19151
2019-06-18,96257
2019-06-19,49725
2019-06-20,225
2019-06-21,70
2019-06-22,18
2019-06-25,5
2019-06-26,110
2019-06-28,343
2019-06-29,94
2019-07-02,5
2019-07-03,6907
2019-07-04,1238
2019-07-06,17437
2019-07-07,12444
2019-07-08,98
2019-07-09,5101
2019-07-10,7871
2019-07-11,9417
2019-07-13,11224
2019-07-14,24492
2019-07-15,7512
2019-07-16,5768
2019-07-17,15429
2019-07-18,87160
2019-07-19,8204
2019-07-20,2869
2019-07-23,1048
2019-07-24,898
2019-07-25,13560
2019-07-26,17097
2019-07-27,90
2019-07-28,3045
2019-07-29,9312
2019-07-30,84
2019-07-31,477
2019-08-01,101
2019-08-07,3685
2019-08-08,1677
2019-08-09,11244
2019-08-10,521
2019-08-11,20981
2019-08-12,20503
2019-08-13,13593
2019-08-14,19466
2019-08-15,23262
2019-08-16,20860
2019-08-17,10542
2019-08-18,20508
2019-08-19,28497
2019-08-20,11710
2019-08-21,12611
2019-08-22,20812
2019-08-23,44238
2019-08-24,70575
2019-08-25,10369
2019-08-26,6072
2019-08-27,354
2019-08-29,7455
2019-08-30,20
2019-08-31,1374
2019-09-03,4921
2019-09-04,6340
2019-09-05,30562
2019-09-06,106876
2019-09-07,19791
2019-09-08,7063
2019-09-11,3062
2019-09-12,1327
2019-09-13,1252
2019-09-14,229
2019-09-15,1
2019-09-18,4
2019-09-19,103
2019-09-20,70
2019-09-21,73
2019-09-22,9463
2019-09-23,3306
2019-09-24,1690
2019-09-25,954
2019-09-27,12845
2019-09-28,18250
2019-09-29,22119
2019-09-30,5787
2019-10-01,11374
2019-10-02,14607
2019-10-03,7263
2019-10-04,36823
2019-10-05,9843
2019-10-06,16630
2019-10-07,12187
2019-10-08,27070
2019-10-09,5686
2019-10-10,444
2019-10-11,2
2019-10-12,10190
2019-10-13,16188
2019-10-14,5686
2019-10-15,13313
2019-10-16,8558
2019-10-17,112812
2019-10-18,11818
2019-10-19,16590
2019-10-20,18026
2019-10-22,4606
2019-10-23,13272
2019-10-24,1902
2019-10-25,8059
2019-10-26,3100
2019-10-27,12501
2019-10-28,2002
2019-10-29,14348
2019-10-30,308
2019-10-31,2123
2019-11-01,8779
2019-11-02,8046
2019-11-03,85248
2019-11-04,15231
2019-11-05,5964
2019-11-06,17599
2019-11-07,14213
2019-11-08,28864
2019-11-09,35512
2019-11-10,20586
2019-11-11,7108
2019-11-12,6638
2019-11-13,14738
2019-11-14,15346
2019-11-15,41574
2019-11-25,4751
2019-11-26,26663
2019-11-27,22740
2019-11-28,21937
2019-11-29,7308
2019-11-30,7290
2019-12-01,17517
2019-12-02,37549
2019-12-03,66337
2019-12-04,27533
2019-12-05,37439
2019-12-06,1652
2019-12-08,33045
2019-12-09,5961
2019-12-10,1254
2019-12-11,2593
2019-12-12,96
2019-12-13,296
2019-12-14,3156
2019-12-15,4636
2019-12-16,7924
2019-12-17,6494
2019-12-18,8395
2019-12-19,2257
2019-12-20,4552
2019-12-21,8342
2019-12-22,15808
2019-12-23,6236
2019-12-24,48738
2019-12-25,18438
2019-12-26,19182
2019-12-27,1998
2019-12-28,27226
2019-12-29,11391
2019-12-30,28781
2019-12-31,21871
2020-01-01,8104
2020-01-02,6467
2020-01-03,3111
2020-01-04,20284
2020-01-05,18193
2020-01-06,31919
2020-01-07,53108
2020-01-08,14787
2020-01-09,34063
2020-01-10,15929
2020-01-11,16632
2020-01-12,13200
2020-01-13,7890
2020-01-14,17355
2020-01-15,3371
2020-01-16,3585
2020-01-17,10309
2020-01-18,45817
2020-01-19,11265
2020-01-20,13080
2020-01-21,6240
2020-01-22,14091
2020-01-23,46874
2020-01-24,36115
2020-01-25,23403
2020-01-26,43961
2020-01-27,4609
2020-01-28,3900
2020-01-29,27868
2020-01-30,483
2020-01-31,512
2020-02-01,15130
2020-02-02,64490
2020-02-03,15744
2020-02-04,21074
2020-02-05,12193
2020-02-06,1755
2020-02-07,5791
2020-02-08,10122
2020-02-09,49664
2020-02-10,22395
2020-02-11,12523
2020-02-12,12240
2020-02-13,18601
2020-02-14,15750
2020-02-15,31385
2020-02-16,8399
2020-02-17,9555
2020-02-18,5455
2020-02-19,9231
2020-02-20,25043
2020-02-21,28204
2020-02-22,38603
2020-02-23,28139
2020-02-24,29994
2020-02-25,41840
2020-02-26,14587
2020-02-27,8916
2020-02-28,6557
2020-02-29,15531
2020-03-01,25685
2020-03-07,1496
2020-03-08,10503
2020-03-09,17170
2020-03-10,28623
2020-03-11,2707
2020-03-12,6178
2020-03-13,13887
2020-03-14,8415
2020-03-15,11465
2020-03-16,6694
2020-03-17,8638
2020-03-18,7708
2020-03-19,2659
2020-03-20,1198
2020-03-21,1803
2020-03-22,3046
2020-03-23,2425
2020-03-24,3554
2020-03-25,1640
2020-03-26,148
2020-03-27,18683
2020-03-28,29024
2020-03-29,6878
2020-03-30,3507
2020-03-31,2225
2020-04-01,1746
2020-04-04,602
2020-04-05,4633
2020-04-06,2329
2020-04-07,8195
2020-04-08,3656
2020-04-09,1040
2020-04-10,692
2020-04-11,3758
2020-04-12,109934
2020-04-13,64391
2020-04-14,1111
2020-04-15,78290
2020-04-16,152
2020-04-18,10162
2020-04-19,6174
2020-04-20,12725
2020-04-21,35443
2020-04-22,22778
2020-04-23,30012
2020-04-24,25713
2020-04-25,16458
2020-04-26,9210
2020-04-27,2968
2020-04-28,6699
2020-04-29,3221
2020-04-30,22784
2020-05-01,6447
2020-05-02,159
2020-05-03,60368
2020-05-04,34763
2020-05-05,40042
2020-05-06,12963
2020-05-07,10236
2020-05-08,15872
2020-05-09,9974
2020-05-10,18399
2020-05-11,8137
2020-05-12,4237
2020-05-13,1003
2020-05-14,634
2020-05-15,3088
2020-05-16,8563
2020-05-17,3849
2020-05-18,2889
