to_date,works
29/11/2016,10280
30/11/2016,5585
01/12/2016,11238
02/12/2016,13176
03/12/2016,10962
04/12/2016,10336
05/12/2016,6538
06/12/2016,21665
07/12/2016,13990
08/12/2016,16745
09/12/2016,7322
10/12/2016,4157
11/12/2016,129
12/12/2016,2426
13/12/2016,7537
14/12/2016,7235
15/12/2016,30532
16/12/2016,12211
17/12/2016,2455
18/12/2016,68
19/12/2016,4205
20/12/2016,11367
21/12/2016,10446
22/12/2016,8351
23/12/2016,6122
24/12/2016,1338
25/12/2016,306
26/12/2016,159
27/12/2016,3176
28/12/2016,2856
29/12/2016,3544
30/12/2016,1032
31/12/2016,1050
01/01/2017,600
02/01/2017,1165
03/01/2017,4388
04/01/2017,8434
05/01/2017,5828
06/01/2017,5309
07/01/2017,4406
08/01/2017,12149
09/01/2017,3474
10/01/2017,10501
11/01/2017,5438
12/01/2017,15776
13/01/2017,4397
14/01/2017,1214
15/01/2017,82
16/01/2017,15113
17/01/2017,7926
18/01/2017,12869
19/01/2017,5252
20/01/2017,6553
21/01/2017,10694
22/01/2017,95
23/01/2017,1892
24/01/2017,6942
25/01/2017,8274
26/01/2017,15926
27/01/2017,11540
28/01/2017,7235
29/01/2017,462
30/01/2017,8809
31/01/2017,4927
01/02/2017,7407
02/02/2017,10882
03/02/2017,3264
09/02/2017,55862
10/02/2017,1963
11/02/2017,5945
12/02/2017,101
13/02/2017,4912
14/02/2017,11007
15/02/2017,4715
16/02/2017,9413
17/02/2017,14467
18/02/2017,2779
19/02/2017,348
20/02/2017,2431
21/02/2017,3740
22/02/2017,3062
23/02/2017,4986
24/02/2017,13669
25/02/2017,2180
26/02/2017,457
27/02/2017,8885
28/02/2017,7717
01/03/2017,12804
02/03/2017,9830
03/03/2017,16392
04/03/2017,5613
05/03/2017,156
06/03/2017,3667
07/03/2017,5420
08/03/2017,5301
09/03/2017,13992
10/03/2017,11524
11/03/2017,3895
12/03/2017,601
13/03/2017,18619
14/03/2017,7237
15/03/2017,12801
16/03/2017,10383
17/03/2017,7667
18/03/2017,7521
19/03/2017,244
20/03/2017,2256
21/03/2017,3195
22/03/2017,10197
23/03/2017,9607
24/03/2017,5003
25/03/2017,2283
26/03/2017,426
27/03/2017,3068
28/03/2017,6074
29/03/2017,7768
30/03/2017,8483
31/03/2017,11241
01/04/2017,5581
02/04/2017,359
03/04/2017,13870
04/04/2017,5907
05/04/2017,13407
06/04/2017,12605
07/04/2017,4995
08/04/2017,10289
09/04/2017,458
10/04/2017,12617
11/04/2017,12994
12/04/2017,6717
13/04/2017,14816
14/04/2017,3691
15/04/2017,3416
16/04/2017,156
17/04/2017,2217
18/04/2017,5788
19/04/2017,44247
20/04/2017,5173
21/04/2017,11673
22/04/2017,2501
23/04/2017,799
24/04/2017,3245
25/04/2017,7768
26/04/2017,13062
27/04/2017,25592
28/04/2017,16990
29/04/2017,3251
30/04/2017,470
01/05/2017,2551
02/05/2017,7350
03/05/2017,23875
04/05/2017,11243
05/05/2017,3796
06/05/2017,7539
07/05/2017,460
08/05/2017,11022
09/05/2017,6875
10/05/2017,8071
11/05/2017,6611
12/05/2017,15101
13/05/2017,5507
14/05/2017,668
15/05/2017,9135
16/05/2017,22326
17/05/2017,5889
18/05/2017,6168
19/05/2017,15691
20/05/2017,2354
21/05/2017,269
22/05/2017,4469
23/05/2017,9821
24/05/2017,3078
25/05/2017,8085
26/05/2017,18714
27/05/2017,1477
28/05/2017,356
29/05/2017,8739
30/05/2017,9413
31/05/2017,11862
01/06/2017,10203
02/06/2017,26847
03/06/2017,1988
04/06/2017,121
05/06/2017,1489
06/06/2017,18418
07/06/2017,22509
08/06/2017,9451
