to_date,works
08/12/2019,403
09/12/2019,21342
10/12/2019,11082
11/12/2019,5909
12/12/2019,11906
13/12/2019,10430
14/12/2019,5415
15/12/2019,3180
16/12/2019,12046
17/12/2019,20031
18/12/2019,24281
19/12/2019,12649
20/12/2019,9252
21/12/2019,7117
22/12/2019,376
23/12/2019,2322
31/12/2019,22139
01/01/2020,562
02/01/2020,14521
03/01/2020,6396
04/01/2020,1512
05/01/2020,1396
06/01/2020,1114
07/01/2020,10112
08/01/2020,8863
09/01/2020,128714
10/01/2020,7201
11/01/2020,4060
12/01/2020,1452
13/01/2020,16382
14/01/2020,28306
15/01/2020,12474
16/01/2020,3680
17/01/2020,9488
18/01/2020,8040
19/01/2020,280
20/01/2020,5591
21/01/2020,32115
22/01/2020,7313
23/01/2020,9298
24/01/2020,10207
25/01/2020,10031
26/01/2020,11187
27/01/2020,7963
28/01/2020,22668
29/01/2020,25384
30/01/2020,22787
31/01/2020,16165
01/02/2020,15280
02/02/2020,4628
03/02/2020,39865
04/02/2020,8464
05/02/2020,8562
06/02/2020,8276
07/02/2020,8694
08/02/2020,19074
09/02/2020,562
10/02/2020,25614
11/02/2020,12312
12/02/2020,20821
13/02/2020,12240
14/02/2020,9329
15/02/2020,15594
16/02/2020,402
17/02/2020,6868
18/02/2020,12292
19/02/2020,15476
20/02/2020,5082
21/02/2020,17746
22/02/2020,5650
23/02/2020,472
24/02/2020,15331
25/02/2020,20147
26/02/2020,11953
27/02/2020,8763
28/02/2020,8481
29/02/2020,10108
01/03/2020,376
02/03/2020,9368
03/03/2020,15556
04/03/2020,27822
05/03/2020,23658
06/03/2020,14799
07/03/2020,4621
08/03/2020,252
09/03/2020,37964
10/03/2020,21089
11/03/2020,18808
12/03/2020,4505
13/03/2020,7377
14/03/2020,5980
15/03/2020,651
16/03/2020,11862
17/03/2020,3993
18/03/2020,11033
19/03/2020,18145
20/03/2020,91087
21/03/2020,13617
22/03/2020,142
23/03/2020,10322
24/03/2020,50920
25/03/2020,37112
26/03/2020,24303
27/03/2020,16422
28/03/2020,10612
29/03/2020,528
30/03/2020,53152
31/03/2020,20373
01/04/2020,6522
02/04/2020,6213
03/04/2020,12086
04/04/2020,16645
05/04/2020,468
06/04/2020,17702
07/04/2020,9336
08/04/2020,8735
09/04/2020,7143
10/04/2020,12509
11/04/2020,2470
12/04/2020,390
13/04/2020,8894
14/04/2020,14824
15/04/2020,14213
16/04/2020,24630
17/04/2020,9152
18/04/2020,17515
19/04/2020,55
20/04/2020,19666
21/04/2020,22090
22/04/2020,12692
23/04/2020,7979
24/04/2020,22425
25/04/2020,17455
26/04/2020,752
27/04/2020,5278
28/04/2020,16844
29/04/2020,16854
30/04/2020,21227
01/05/2020,7546
02/05/2020,14263
03/05/2020,547
04/05/2020,8568
05/05/2020,4363
06/05/2020,9326
07/05/2020,12688
08/05/2020,25271
09/05/2020,4968
10/05/2020,230
11/05/2020,6093
12/05/2020,10425
13/05/2020,11312
14/05/2020,20872
15/05/2020,8426
16/05/2020,8649
17/05/2020,1360
18/05/2020,29278
19/05/2020,9970
20/05/2020,24209
21/05/2020,7692
22/05/2020,3715
23/05/2020,6005
24/05/2020,424
25/05/2020,2518
26/05/2020,6462
27/05/2020,13039
28/05/2020,36336
29/05/2020,20192
30/05/2020,10502
31/05/2020,13382
01/06/2020,5891
02/06/2020,6610
03/06/2020,26609
04/06/2020,22340
05/06/2020,18881
06/06/2020,9185
07/06/2020,522
08/06/2020,14428
09/06/2020,13409
10/06/2020,9013
11/06/2020,64761
12/06/2020,14561
13/06/2020,9665
14/06/2020,516
15/06/2020,9620
16/06/2020,9130
17/06/2020,25196
18/06/2020,12380
19/06/2020,9524
20/06/2020,5862
21/06/2020,605
22/06/2020,10629
23/06/2020,16227
24/06/2020,17576
25/06/2020,9065
26/06/2020,9686
27/06/2020,5046
28/06/2020,539
29/06/2020,28674
30/06/2020,14642
01/07/2020,8891
02/07/2020,10554
03/07/2020,7331
04/07/2020,5568
05/07/2020,800
06/07/2020,7509
07/07/2020,5210
08/07/2020,15335
09/07/2020,6089
10/07/2020,8122
11/07/2020,2452
12/07/2020,493
13/07/2020,20525
14/07/2020,9624
15/07/2020,8083
16/07/2020,6957
17/07/2020,12666
18/07/2020,4786
19/07/2020,229
20/07/2020,7736
21/07/2020,3661
22/07/2020,15880
23/07/2020,25289
24/07/2020,10160
25/07/2020,5151
26/07/2020,536
27/07/2020,18996
28/07/2020,28687
29/07/2020,25793
30/07/2020,75262
31/07/2020,30799
01/08/2020,3425
02/08/2020,569
03/08/2020,3482
04/08/2020,7583
05/08/2020,24878
06/08/2020,7100
07/08/2020,5834
08/08/2020,4522
09/08/2020,651
10/08/2020,2665
11/08/2020,4096
12/08/2020,12630
13/08/2020,19912
14/08/2020,34157
15/08/2020,9708
16/08/2020,666
17/08/2020,11666
18/08/2020,21090
19/08/2020,11973
20/08/2020,7648
21/08/2020,6288
22/08/2020,4180
23/08/2020,907
24/08/2020,10434
25/08/2020,24008
26/08/2020,28265
27/08/2020,309487
28/08/2020,7530
29/08/2020,5009
30/08/2020,580
31/08/2020,8887
01/09/2020,24686
02/09/2020,8586
03/09/2020,19121
04/09/2020,9660
05/09/2020,3155
06/09/2020,3245
07/09/2020,3912
08/09/2020,21569
09/09/2020,11744
10/09/2020,29270
11/09/2020,7311
12/09/2020,19657
13/09/2020,847
14/09/2020,18504
15/09/2020,13347
16/09/2020,18474
17/09/2020,10523
18/09/2020,64492
19/09/2020,4487
20/09/2020,699
21/09/2020,10962
22/09/2020,5249
23/09/2020,133829
24/09/2020,271278
25/09/2020,17378
26/09/2020,3692
27/09/2020,651
28/09/2020,10484
29/09/2020,31509
30/09/2020,37014
01/10/2020,66741
02/10/2020,12938
03/10/2020,5076
04/10/2020,2888
05/10/2020,14829
06/10/2020,12645
07/10/2020,18944
08/10/2020,7622
09/10/2020,13486
10/10/2020,3672
11/10/2020,869
12/10/2020,5578
13/10/2020,70606
14/10/2020,14623
15/10/2020,12974
16/10/2020,14740
17/10/2020,5938
18/10/2020,531
19/10/2020,2225
20/10/2020,18938
21/10/2020,6902
22/10/2020,29350
23/10/2020,17249
24/10/2020,7016
25/10/2020,895
26/10/2020,20633
27/10/2020,17837
28/10/2020,7682
29/10/2020,7660
30/10/2020,11204
31/10/2020,2651
01/11/2020,2769
02/11/2020,7464
03/11/2020,14847
04/11/2020,27118
05/11/2020,17631
06/11/2020,6374
07/11/2020,6556
08/11/2020,1672
09/11/2020,5176
10/11/2020,5674
11/11/2020,10914
12/11/2020,8813
13/11/2020,8642
14/11/2020,7440
15/11/2020,1317
16/11/2020,36438
17/11/2020,22030
18/11/2020,18130
19/11/2020,14264
20/11/2020,42749
21/11/2020,6312
22/11/2020,910
23/11/2020,7256
24/11/2020,12568
25/11/2020,5831
26/11/2020,20669
27/11/2020,8093
28/11/2020,5848
29/11/2020,928
30/11/2020,7347
01/12/2020,15844
02/12/2020,33235
03/12/2020,18110
04/12/2020,33524
05/12/2020,22268
06/12/2020,1069
07/12/2020,14926
08/12/2020,14696
09/12/2020,20427
10/12/2020,21613
11/12/2020,17298
12/12/2020,4584
13/12/2020,1616
14/12/2020,29159
15/12/2020,22409
16/12/2020,22549
17/12/2020,25047
18/12/2020,32956
19/12/2020,5913
20/12/2020,959
21/12/2020,12602
22/12/2020,38155
23/12/2020,19437
24/12/2020,38204
25/12/2020,963
26/12/2020,719
27/12/2020,4050
28/12/2020,1246
29/12/2020,3291
30/12/2020,1288
31/12/2020,73852
01/01/2021,1004
02/01/2021,1082
03/01/2021,673
04/01/2021,38392
05/01/2021,25570
06/01/2021,5417
07/01/2021,9690
08/01/2021,8536
09/01/2021,6431
10/01/2021,2763
11/01/2021,2891
12/01/2021,8740
13/01/2021,5710
14/01/2021,7657
15/01/2021,15042
16/01/2021,5734
17/01/2021,964
18/01/2021,4502
19/01/2021,40862
20/01/2021,14865
21/01/2021,9283
22/01/2021,26345
23/01/2021,6370
24/01/2021,435
25/01/2021,7268
26/01/2021,8647
27/01/2021,14691
28/01/2021,9561
29/01/2021,10861
30/01/2021,4885
31/01/2021,903
01/02/2021,15337
02/02/2021,17034
03/02/2021,9740
04/02/2021,6118
05/02/2021,9075
06/02/2021,6954
07/02/2021,65
08/02/2021,10961
09/02/2021,21528
10/02/2021,18854
11/02/2021,20818
12/02/2021,12154
13/02/2021,8645
14/02/2021,727
15/02/2021,9471
16/02/2021,5461
17/02/2021,10709
18/02/2021,23010
19/02/2021,19893
20/02/2021,10279
21/02/2021,1973
22/02/2021,7852
23/02/2021,16758
24/02/2021,14503
25/02/2021,8113
26/02/2021,15033
27/02/2021,6937
28/02/2021,17479
01/03/2021,7380
02/03/2021,25398
03/03/2021,15723
04/03/2021,4441
05/03/2021,10511
06/03/2021,8607
07/03/2021,1825
08/03/2021,4975
09/03/2021,30382
10/03/2021,11290
11/03/2021,14510
12/03/2021,7999
13/03/2021,9553
14/03/2021,707
15/03/2021,78314
16/03/2021,21830
17/03/2021,10601
18/03/2021,13749
19/03/2021,14117
20/03/2021,25166
21/03/2021,827
22/03/2021,5962
23/03/2021,11515
24/03/2021,20994
25/03/2021,17052
26/03/2021,5632
27/03/2021,6626
28/03/2021,1712
29/03/2021,8459
30/03/2021,9888
31/03/2021,45531
01/04/2021,11448
02/04/2021,4752
03/04/2021,7359
04/04/2021,802
05/04/2021,1314
06/04/2021,15978
07/04/2021,13810
08/04/2021,17066
09/04/2021,8023
10/04/2021,1980
11/04/2021,4766
12/04/2021,6950
13/04/2021,3719
14/04/2021,16118
15/04/2021,13962
16/04/2021,11103
17/04/2021,5310
18/04/2021,602
19/04/2021,5193
20/04/2021,40822
21/04/2021,8401
22/04/2021,6048
23/04/2021,20250
24/04/2021,3479
25/04/2021,774
26/04/2021,4423
27/04/2021,8349
28/04/2021,12678
29/04/2021,27985
30/04/2021,9482
01/05/2021,6767
02/05/2021,564
03/05/2021,8510
04/05/2021,17797
05/05/2021,18334
06/05/2021,36408
07/05/2021,57294
08/05/2021,4685
09/05/2021,109
10/05/2021,12631
11/05/2021,8249
12/05/2021,16350
13/05/2021,2974
14/05/2021,10828
15/05/2021,2078
16/05/2021,5028
17/05/2021,3080
18/05/2021,9483
19/05/2021,24169
20/05/2021,11901
21/05/2021,42108
22/05/2021,2406
23/05/2021,619
24/05/2021,17416
25/05/2021,21764
26/05/2021,18893
27/05/2021,23604
28/05/2021,4098
29/05/2021,13934
30/05/2021,215
31/05/2021,6424
01/06/2021,7729
02/06/2021,30189
03/06/2021,9927
04/06/2021,7838
05/06/2021,4386
06/06/2021,754
07/06/2021,15285
08/06/2021,11273
09/06/2021,5904
10/06/2021,21337
11/06/2021,7493
12/06/2021,5670
13/06/2021,2510
14/06/2021,65676
15/06/2021,24379
16/06/2021,11652
17/06/2021,17368
18/06/2021,8259
19/06/2021,4710
20/06/2021,629
21/06/2021,10150
22/06/2021,6457
23/06/2021,13980
24/06/2021,5850
25/06/2021,12255
26/06/2021,6418
27/06/2021,398
28/06/2021,14396
29/06/2021,44377
30/06/2021,12450
01/07/2021,68070
02/07/2021,5380
03/07/2021,2074
04/07/2021,19842
05/07/2021,14878
06/07/2021,14309
07/07/2021,12036
08/07/2021,2895
09/07/2021,3864
10/07/2021,4631
11/07/2021,533
12/07/2021,6675
13/07/2021,4319
14/07/2021,16274
15/07/2021,4124
16/07/2021,15489
17/07/2021,8959
18/07/2021,468
19/07/2021,6322
20/07/2021,7452
21/07/2021,58996
22/07/2021,17499
23/07/2021,12137
24/07/2021,10976
25/07/2021,448
26/07/2021,4827
27/07/2021,5908
28/07/2021,13197
29/07/2021,58265
30/07/2021,9724
31/07/2021,6199
01/08/2021,658
02/08/2021,24431
03/08/2021,4628
04/08/2021,8428
05/08/2021,9107
06/08/2021,16704
07/08/2021,3628
08/08/2021,388
09/08/2021,5740
10/08/2021,33978
11/08/2021,14287
12/08/2021,119878
13/08/2021,48690
14/08/2021,7181
15/08/2021,874
16/08/2021,6485
17/08/2021,3374
18/08/2021,10066
19/08/2021,5740
20/08/2021,10413
21/08/2021,5236
22/08/2021,447
23/08/2021,6700
24/08/2021,11999
25/08/2021,10104
26/08/2021,6104
27/08/2021,4743
28/08/2021,5989
29/08/2021,6030
30/08/2021,4856
31/08/2021,3622
01/09/2021,12211
02/09/2021,42343
03/09/2021,10192
04/09/2021,25452
05/09/2021,2151
06/09/2021,13233
07/09/2021,9532
08/09/2021,11848
09/09/2021,10602
10/09/2021,6371
11/09/2021,7799
12/09/2021,730
13/09/2021,12989
14/09/2021,20778
15/09/2021,6922
16/09/2021,9055
17/09/2021,13589
18/09/2021,4540
19/09/2021,587
20/09/2021,10666
21/09/2021,21309
22/09/2021,10064
23/09/2021,11425
24/09/2021,5178
25/09/2021,7007
26/09/2021,488
27/09/2021,10909
28/09/2021,15428
29/09/2021,14983
30/09/2021,5934
01/10/2021,4873
02/10/2021,8482
03/10/2021,683
04/10/2021,10693
05/10/2021,6473
06/10/2021,23416
07/10/2021,26821
08/10/2021,13419
09/10/2021,6772
10/10/2021,629
11/10/2021,3317
12/10/2021,18973
13/10/2021,10073
14/10/2021,5419
15/10/2021,20173
16/10/2021,6030
17/10/2021,681
18/10/2021,201724
19/10/2021,9599
20/10/2021,5142
21/10/2021,14752
22/10/2021,13873
23/10/2021,8953
24/10/2021,606
25/10/2021,28437
26/10/2021,19846
27/10/2021,21162
28/10/2021,8156
29/10/2021,4047
30/10/2021,10154
31/10/2021,3379
01/11/2021,9144
02/11/2021,20825
03/11/2021,21203
04/11/2021,8110
05/11/2021,4854
06/11/2021,7027
07/11/2021,1865
08/11/2021,7595
09/11/2021,20925
10/11/2021,14317
11/11/2021,31127
12/11/2021,36056
13/11/2021,8181
14/11/2021,463
15/11/2021,7578
16/11/2021,5677
17/11/2021,11165
18/11/2021,2999
19/11/2021,14963
20/11/2021,7363
21/11/2021,3483
22/11/2021,2252
23/11/2021,9918
24/11/2021,42212
25/11/2021,3848
26/11/2021,5543
27/11/2021,5587
28/11/2021,3624
29/11/2021,3706
30/11/2021,6650
01/12/2021,8014
02/12/2021,13321
03/12/2021,8206
04/12/2021,4837
05/12/2021,2347
06/12/2021,25882
07/12/2021,4370
08/12/2021,14854
09/12/2021,15025
10/12/2021,12603
11/12/2021,10918
12/12/2021,1912
13/12/2021,5761
14/12/2021,22938
15/12/2021,11629
16/12/2021,73262
17/12/2021,16063
18/12/2021,6069
19/12/2021,12277
20/12/2021,15334
21/12/2021,17427
22/12/2021,12149
23/12/2021,10512
24/12/2021,1569
25/12/2021,4972
26/12/2021,1329
27/12/2021,782
28/12/2021,4393
29/12/2021,3461
30/12/2021,3005
31/12/2021,2720
01/01/2022,932
02/01/2022,243
03/01/2022,2824
04/01/2022,5656
05/01/2022,41194
06/01/2022,3560
07/01/2022,11834
08/01/2022,1204
09/01/2022,7405
10/01/2022,7036
11/01/2022,6116
12/01/2022,18647
13/01/2022,8206
14/01/2022,6135
15/01/2022,5137
16/01/2022,3018
17/01/2022,2433
18/01/2022,7712
19/01/2022,49191
20/01/2022,14464
21/01/2022,21447
22/01/2022,4022
23/01/2022,293
24/01/2022,12386
25/01/2022,10914
26/01/2022,10071
27/01/2022,13280
28/01/2022,15046
29/01/2022,11165
30/01/2022,1853
31/01/2022,8623
01/02/2022,7895
02/02/2022,13596
03/02/2022,9843
04/02/2022,15239
05/02/2022,1580
06/02/2022,4358
07/02/2022,10356
08/02/2022,62407
09/02/2022,9975
10/02/2022,32308
11/02/2022,18759
12/02/2022,5043
13/02/2022,449
14/02/2022,4677
15/02/2022,10145
16/02/2022,12699
17/02/2022,5349
18/02/2022,9569
19/02/2022,6857
20/02/2022,988
21/02/2022,6537
22/02/2022,10014
23/02/2022,6772
24/02/2022,5712
